person	Antoine	0
person	Antoine	0
location	La	1
location	Paris	1
location	Paris	1
person	Antoine	0
location	La	1
location	Paris	1
location	Paris	1
person	Juan	3
person	Juan	3
location	Argentina	4
location	Paraguay	4
location	Argentina	4
location	Argentina	4
location	Paraguay	4
person	Juan	3
location	Argentina	4
location	Paraguay	4
location	Argentina	4
location	Argentina	4
location	Paraguay	4
person	Marcelo	6
person	Marcelo	6
person	Marcelo	6
person	Adrián	9
person	Adrián	9
location	Oviedo	10
person	Adrián	9
location	Oviedo	10
person	Bruno	12
person	Serie	12
person	Bruno	12
person	Serie	12
person	Bruno	12
person	Serie	12
location	Italy	16
location	El	16
location	Italy	16
location	El	16
person	Jonathan	18
person	Fernando	18
person	Rossini	18
person	Jonathan	18
person	Fernando	18
person	Rossini	18
location	Switzerland	19
location	Italy	19
location	Italy	19
location	Switzerland	19
location	Greece	19
person	Jonathan	18
person	Fernando	18
person	Rossini	18
location	Switzerland	19
location	Italy	19
location	Italy	19
location	Switzerland	19
location	Greece	19
organization	European	20
location	Carpi	22
location	Italy	22
location	Serie	22
location	Carpi	22
location	Italy	22
location	Serie	22
location	San	25
location	San	25
person	Rafael	27
person	Rafael	27
person	17	27
person	Série	27
person	B	27
person	Rafael	27
person	Rafael	27
person	17	27
person	Série	27
person	B	27
location	Brazil	28
location	Glória	28
person	Rafael	27
person	Rafael	27
person	17	27
person	Série	27
person	B	27
location	Brazil	28
location	Glória	28
location	Vercelli	31
location	Italy	31
location	Italy	31
location	Vercelli	31
location	Italy	31
location	Italy	31
person	Pedro	33
person	Pedro	33
person	Pedro	33
person	Pedro	33
person	Pedro	33
person	Pedro	33
person	Andrea	36
person	Lorenzo	36
person	Mori	36
person	Mori	36
person	Andrea	36
person	Lorenzo	36
person	Mori	36
person	Mori	36
location	Angella	37
location	Italy	37
location	France	37
person	Andrea	36
person	Lorenzo	36
person	Mori	36
person	Mori	36
location	Angella	37
location	Italy	37
location	France	37
person	Segunda	42
person	David	42
person	Segunda	42
person	David	42
person	Segunda	42
person	David	42
organization	UEFA	44
organization	UEFA	44
person	Alexis	45
person	Gastón	45
person	Alexis	45
person	Gastón	45
location	Mexico	46
location	Ecuador	46
person	Alexis	45
person	Gastón	45
location	Mexico	46
location	Ecuador	46
organization	Pan	47
person	Antonio	48
person	Antonio	48
location	Naples	49
person	Antonio	48
location	Naples	49
location	La	61
location	La	61
person	Roberto	63
person	Roberto	63
person	Roberto	63
person	Mohammed	66
person	Mohammed	66
person	Mohammed	66
person	Olympiacos	69
person	Olympiacos	69
person	Olympiacos	69
location	Sheffield	73
location	Sheffield	73
organization	Football	74
organization	FC	74
organization	League	74
person	Plana	75
person	Plana	75
person	Plana	75
organization	FC	77
organization	AD	77
person	Maicon	78
person	Maicon	78
person	Maicon	78
person	Julián	90
person	Zorica	90
person	Arsène	90
person	Julián	90
person	Zorica	90
person	Arsène	90
location	Geneva	91
location	Switzerland	91
location	West	91
location	Middlesbrough	91
location	Milan	91
person	Julián	90
person	Zorica	90
person	Arsène	90
location	Geneva	91
location	Switzerland	91
location	West	91
location	Middlesbrough	91
location	Milan	91
organization	Premier	92
organization	Champions	92
location	Valencia	97
location	Spain	97
location	Spain	97
location	Europe	97
location	Valencia	97
location	Spain	97
location	Spain	97
location	Europe	97
organization	Valencia	98
location	Madrid	100
location	Madrid	100
person	Young	105
person	Young	105
location	Faroe	106
location	Edinburgh	106
person	Young	105
location	Faroe	106
location	Edinburgh	106
organization	Belgian	107
person	Josef	108
person	Josef	108
location	El	109
person	Josef	108
location	El	109
organization	BSC	110
organization	Swiss	110
person	Thomas	111
person	Ragusa	111
person	Thomas	111
person	Ragusa	111
location	Sicily	112
person	Thomas	111
person	Ragusa	111
location	Sicily	112
person	Javier	117
person	Javier	117
person	Javier	117
person	Aquino	117
person	Javier	117
person	Javier	117
person	Javier	117
person	Aquino	117
location	San	118
location	Mexico	118
location	San	118
location	Mexico	118
person	Javier	117
person	Javier	117
person	Javier	117
person	Aquino	117
location	San	118
location	Mexico	118
location	San	118
location	Mexico	118
organization	Pan	119
organization	Tercera	119
person	Hlynur	123
person	Hlynur	123
location	Norway	124
location	France	124
location	Sweden	124
person	Hlynur	123
location	Norway	124
location	France	124
location	Sweden	124
organization	AZ	125
location	Rome	127
location	Rome	127
person	Daniel	129
person	Daniel	129
person	Daniel	129
person	Daniel	135
person	Nieto	135
person	Daniel	135
person	Nieto	135
location	Balearic	136
person	Daniel	135
person	Nieto	135
location	Balearic	136
person	Pedro	141
person	Pedro	141
person	Pedro	141
person	Franco	144
person	Diego	144
person	Franco	144
person	Diego	144
location	La	145
location	Argentina	145
location	Venezuela	145
location	Argentina	145
location	Argentina	145
location	Panama	145
person	Franco	144
person	Diego	144
location	La	145
location	Argentina	145
location	Venezuela	145
location	Argentina	145
location	Argentina	145
location	Panama	145
organization	Racing	146
organization	Racing	146
organization	Argentina	146
person	Adam	159
person	Adam	159
person	Adam	159
location	Ghana	166
location	Ghana	166
location	Ghana	166
location	Ghana	166
location	Ghana	166
location	Ghana	166
person	Manuel	171
person	Manuel	171
person	Manuel	171
person	Reggio	180
person	Associazione	180
person	Reggio	180
person	Associazione	180
location	Reggio	181
location	Reggio	181
person	Reggio	180
person	Associazione	180
location	Reggio	181
location	Reggio	181
person	Juan	183
person	Felipe	183
person	Juan	183
person	Felipe	183
location	La	184
location	La	184
location	King	184
location	King	184
person	Juan	183
person	Felipe	183
location	La	184
location	La	184
location	King	184
location	King	184
organization	King	185
person	Fernando	186
person	Abdullah	186
person	Nasser	186
person	Abdullah	186
person	Fernando	186
person	Abdullah	186
person	Nasser	186
person	Abdullah	186
location	Spain	187
location	La	187
location	La	187
location	La	187
location	Madrid	187
person	Fernando	186
person	Abdullah	186
person	Nasser	186
person	Abdullah	186
location	Spain	187
location	La	187
location	La	187
location	La	187
location	Madrid	187
person	Associazione	189
person	Sportiva	189
person	Associazione	189
person	Sportiva	189
location	Roma	190
location	Rome	190
location	Roma	190
location	Roma	190
location	Roma	190
location	Italy	190
person	Associazione	189
person	Sportiva	189
location	Roma	190
location	Rome	190
location	Roma	190
location	Roma	190
location	Roma	190
location	Italy	190
location	Como	193
location	Como	193
location	Como	193
location	Como	193
organization	Isola	200
person	Alfred	204
person	He	204
person	Nancy	204
person	Alfred	204
person	Nancy	204
person	Alfred	204
person	He	204
person	Nancy	204
person	Alfred	204
person	Nancy	204
location	Paris	205
person	Alfred	204
person	He	204
person	Nancy	204
person	Alfred	204
person	Nancy	204
location	Paris	205
organization	US	206
person	Amarillo	207
person	Amarillo	207
location	Castellón	208
location	El	208
location	El	208
location	Madrid	208
person	Amarillo	207
location	Castellón	208
location	El	208
location	El	208
location	Madrid	208
location	Madrid	211
location	Madrid	211
location	La	211
location	Madrid	211
location	Madrid	211
location	La	211
person	Enrique	213
person	Aurelio	213
person	Antonio	213
person	Manuel	213
